Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort	     Comb Sort	 Cocktail Sort
50	27712.035	13221.51	36233.227	29741.445	57978.324	76632.586
100	60560.566	30075.016	122208.12	21159.56	30165.965	154858.44
150	123346.58	60411.316	31983.04	27807.654	24415.955	182857.36
200	150491.77	76455.31	35577.746	27429.76	25237.064	228416.56
250	228411.84	116308.86	53693.215	35472.797	31873.494	347564.3
300	338765.38	173972.2	82436.26	46527.285	48939.17	516089.84
350	430611.72	218094.56	104116.08	53560.254	47077.863	674670.9
400	581784.5	295373.22	138688.38	64693.953	54073.44	903705.75
450	701466.25	353806.53	162327.58	71008.6	61708.23	1088359.5
500	866152.5	432412.53	202383.98	82842.17	68323.695	1356769.6
550	989771.7	481909.25	226020.95	86968.64	77673.01	1584022.2
600	1264699.4	629468.9	303801.25	102303.57	86805.39	1982774.4
650	1468599.2	717725.4	341657.88	109665.42	94297.86	2308100.5
700	1648447.6	846744.6	403172.75	120540.26	99525.38	2654608.2
750	1943757.8	963347.7	447269.03	130981.18	113714.9	3087212.8
800	2078865.6	1021038.6	478878.9	134123.42	116868.6	3412110.8
850	2416222.2	1172925.2	554116.8	146332.64	126878.17	3900006.5
900	2691597.8	1335376.8	626462.06	158478.73	131898.02	4325337.0
950	3058400.2	1495081.8	687092.4	166734.02	145030.94	4926171.0
1000	3414461.8	1698042.8	810220.0	181994.36	169355.88	5520398.5
